FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,"Republic of Kalmykia",Russia,2020-04-26 12:22:01,46.414024,45.325701,146,3,19,124,"Republic of Kalmykia,Russia"
,,"Republic of Karelia",Russia,2020-04-26 12:22:01,63.621324,33.232608,44,0,5,39,"Republic of Karelia,Russia"
,,"Komi republic",Russia,2020-04-26 12:22:01,64.0,54.0,578,5,52,521,"Komi republic,Russia"
,,"Republic of Crimea",Russia,2020-04-26 12:22:01,45.0,34.0,67,0,29,38,"Republic of Crimea,Russia"
,,"Republic of Mariy El",Russia,2020-04-26 12:22:01,56.485739,48.197858,431,3,46,382,"Republic of Mariy El,Russia"
,,"Republic of Mordovia",Russia,2020-04-26 12:22:01,54.2,44.319669,518,2,36,480,"Republic of Mordovia,Russia"
,,"Saha republic",Russia,2020-04-26 12:22:01,62.30161,32.68536,152,0,18,134,"Saha republic,Russia"
,,"Republic of North Osetia - Alania",Russia,2020-04-26 12:22:01,43.092669,44.262033,348,2,35,311,"Republic of North Osetia - Alania,Russia"
,,"Republic of Tatarstan",Russia,2020-04-26 12:22:01,55.33333,51.0,562,0,51,511,"Republic of Tatarstan,Russia"
,,"Republic of Tyva",Russia,2020-04-26 12:22:01,51.584332,94.793085,27,0,0,27,"Republic of Tyva,Russia"
,,"Republic of Hakassia",Russia,2020-04-26 12:22:01,53.71556,91.42917,176,2,15,159,"Republic of Hakassia,Russia"
,,"Republic of Chuvashia",Russia,2020-04-26 12:22:01,56.13222,47.25194,421,8,31,382,"Republic of Chuvashia,Russia"
,,"Rostov oblast",Russia,2020-04-26 12:22:01,47.23135,39.72328,649,1,37,611,"Rostov oblast,Russia"
,,"Ryazan oblast",Russia,2020-04-26 12:22:01,54.6269,39.6916,602,0,47,555,"Ryazan oblast,Russia"
,,"Samara oblast",Russia,2020-04-26 12:22:01,53.20007,50.15,229,2,26,201,"Samara oblast,Russia"
,,"Saint Petersburg",Russia,2020-04-26 12:22:01,59.93863,30.31413,3077,27,489,2561,"Saint Petersburg,Russia"
,,"Saratov oblast",Russia,2020-04-26 12:22:01,51.54056,46.00861,305,2,38,265,"Saratov oblast,Russia"
,,"Sakhalin oblast",Russia,2020-04-26 12:22:01,50.150926,142.750797,20,0,13,7,"Sakhalin oblast,Russia"
,,"Sverdlov oblast",Russia,2020-04-26 12:22:01,43.25,71.75,395,1,87,307,"Sverdlov oblast,Russia"
